internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Policy Research,Plants Kharido (OPC) Private Limited,Delhi,Immediately,2 Months,"₹ 5,000 /month",Consulting Services,Strategy & Corporate Development,"Policy Research, Data Analysis, Report Writing, Market Research","At Plants Kharido, you will conduct thorough policy research to support organizational objectives and strategic planning. Your responsibilities include analyzing existing regulations, synthesizing findings into reports, and presenting recommendations."
Business Development (Sales),Petsie,Delhi,Immediately,2 Months,"₹ 7,500 /month",Retail & Consumer Durables,B2B Sales & Key Account Management,"Sales, Lead Generation, Client Communication, Negotiation","As a Business Development intern at Petsie, you will identify new business opportunities, reach out to potential clients, and pitch company offerings. You will play a key role in driving sales growth and expanding the customer base."
Music Creation/Composing,FreePNGImg,Work From Home,Immediately,2 Months,"₹ 5,000 /month","Media, Entertainment & Education",Graphic Design & Visual Communication,"Music Production, Composition, Audio Editing, Digital Audio Workstations","Working at FreePNGImg, you will create and compose original music tracks and audio assets for various digital projects. Responsibilities include arranging melodies, mixing tracks, and aligning audio elements with project specifications."
Business Development (Sales),Ankita Aggarwal,Work From Home,Immediately,2 Months,"₹ 1,000 /month",Consulting Services,B2B Sales & Key Account Management,"Lead Generation, Sales Pitching, Client Relationship Management, Communication","Under the mentorship of Ankita Aggarwal, you will support business development initiatives by prospecting leads, executing sales calls, and nurturing client relationships. You will help formulate outreach strategies to increase conversions."
Blender 3D Animation,Warpan Games,Work From Home,Immediately,2 Months,"₹ 5,000-7,000 /month","Media, Entertainment & Education",UI/UX & Product Design,"Blender, 3D Modeling, Animation, Texturing","At Warpan Games, you will use Blender to create 3D assets, characters, and environments for game projects. You will work alongside artists and designers to rig models, animate sequences, and optimize assets for real-time engines."
Content Writing,Webkeydigital,Indore,Immediately,2 Months,"₹ 12,000 /month",IT and Software Development,Content Strategy & Copywriting,"Content Writing, Copywriting, SEO Writing, Editing","As a Content Writing intern at Webkeydigital, you will write and edit engaging articles, blog posts, and website copy optimized for search engines. You will collaborate with the marketing team to align content strategies with brand messaging."
Online Tutoring For Journalism,Hikewise,Work From Home,Immediately,2 Months,"₹ 15,000-20,000 lump sum","Media, Entertainment & Education",Journalism & Mass Media Production,"Journalism, Online Tutoring, Media Studies, Communication","At Hikewise, you will deliver online tutoring sessions focused on journalism, teaching students about news reporting, ethics, and media production. You will develop study materials, conduct interactive sessions, and mentor learners."
Laravel Development,Aone Software,Work From Home,Immediately,2 Months,"₹ 2,000 /month",IT and Software Development,Full Stack Web Development,"PHP, Laravel, MySQL, Web Development","As a Laravel Development intern at Aone Software, you will build and maintain robust web applications using the Laravel PHP framework. You will write clean, testable code, integrate databases, and troubleshoot software defects."
Online Tutoring (Economics),Hikewise,Work From Home,Immediately,2 Months,"₹ 15,000-20,000 lump sum","Media, Entertainment & Education",Management Consulting & Advisory,"Economics, Online Teaching, Microeconomics, Macroeconomics","Working with Hikewise, you will conduct online tutoring sessions in Economics, helping students grasp economic theories, models, and real-world applications. You will create lesson plans and evaluate student performance."
Social Media Marketing,Aphrodite Wellness LLP,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Healthcare,Digital Marketing & SEO/SEM,"Social Media Marketing, Content Creation, Instagram Marketing, Analytics","At Aphrodite Wellness LLP, you will manage social media channels, create engaging posts, and execute digital marketing campaigns. You will analyze engagement metrics and interact with the online community to build brand awareness."
Site Engineering (Civil),Zumosun Soft Invention Private Limited,Jaipur,Immediately,2 Months,"₹ 8,000 /month",Infrastructure & Construction,Civil Engineering & Structural Design,"Civil Engineering, Site Supervision, AutoCAD, Quality Control","As a Site Engineering (Civil) intern at Zumosun Soft Invention, you will assist engineers in supervising construction activities on-site, ensuring adherence to design plans and safety standards. You will also help prepare site reports and measurements."
Recruitment,Zenith Staffing,Delhi,Immediately,2 Months,"₹ 10,000 /month",Consulting Services,Talent Acquisition & Technical Recruitment,"Recruitment, Sourcing, Candidate Screening, HR Operations","At Zenith Staffing, you will assist the recruitment team in sourcing candidates, screening resumes, and coordinating interview schedules. You will help build talent pipelines for various client requirements."
IO Psychology,Unberry,Gurgaon,Immediately,2 Months,"₹ 20,000 /month",Consulting Services,Human Resources (HR) & People Operations,"Industrial-Organizational Psychology, Employee Assessment, Psychometrics, Research","As an IO Psychology intern at Unberry, you will apply psychological principles to workplace issues, helping assess employee satisfaction, engagement, and productivity. You will assist in designing surveys, analyzing workplace data, and recommending interventions."
Web Development,ESC INDIA,Delhi,Immediately,2 Months,"₹ 13,000-16,000 /month",IT and Software Development,Full Stack Web Development,"HTML/CSS, JavaScript, React, Web Development","At ESC INDIA, you will assist in developing and maintaining responsive websites and web applications. Responsibilities include writing frontend code, integrating APIs, and ensuring optimal user experience across platforms."
Full Stack Development,Zeppstr,Bangalore,Immediately,2 Months,"₹ 5,000-10,000 /month",IT and Software Development,Full Stack Web Development,"Node.js, React, MongoDB, Full Stack Development","Working with Zeppstr as a Full Stack Development intern, you will build end-to-end features for web platforms using modern web technologies. You will work on both client-side and server-side logic, database design, and code optimization."
Online Tutoring For Social Work,Hikewise,Work From Home,Immediately,2 Months,"₹ 15,000-20,000 lump sum","Media, Entertainment & Education",Management Consulting & Advisory,"Social Work, Online Teaching, Community Outreach, Counseling","At Hikewise, you will provide online tutoring and mentoring for social work studies, guiding students through core concepts, case studies, and field practices. You will lead discussions and review assignments."
Subject Matter Expert (Organic Chemistry),Himanshi Sharma,Work From Home,Immediately,2 Months,"₹ 5,000-6,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Organic Chemistry, Content Creation, Research, Editing","You will develop and review educational content focusing on organic chemistry principles. Responsibilities include creating accurate study materials, answering student queries, and ensuring high-quality academic publications."
Subject Matter Expert (Anatomy And Physiology),Himanshi Sharma,Work From Home,Immediately,2 Months,"₹ 5,000-6,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Anatomy, Physiology, Medical Writing, Research","As a Subject Matter Expert in Anatomy and Physiology, you will author comprehensive educational content and verify the accuracy of medical biology materials. Your day-to-day tasks involve explaining complex physiological systems and answering curriculum-based questions."
Recruitment,Medforage,Hyderabad,Immediately,2 Months,"₹ 5,000 /month",Healthcare,Talent Acquisition & Technical Recruitment,"Sourcing, Candidate Screening, Interview Scheduling, HR Operations","You will assist in sourcing and recruiting qualified professionals for various healthcare and tech roles. Responsibilities include screening resumes, conducting initial phone screens, and managing the end-to-end recruitment pipeline."
Digital Marketing,Arch Vantage,Delhi,Immediately,2 Months,"₹ 8,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"SEO, Social Media Marketing, Google Analytics, Content Creation","You will plan and execute digital marketing campaigns to enhance brand visibility online. Daily tasks involve analyzing web traffic, managing social media channels, and optimizing search engine performance."
UPSC Proofreading,Lawtech,Work From Home,Immediately,2 Months,"₹ 6,000-8,000 /month",IT and Software Development,Content Strategy & Copywriting,"Proofreading, Editing, UPSC Syllabus Knowledge, Attention to Detail","You will review, edit, and proofread study materials and test papers targeted at UPSC aspirants. Your role ensures that all published text is factually accurate, grammatically correct, and adheres to exam standards."
Graphic Design,Mariox Software Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000 /month",IT and Software Development,Graphic Design & Visual Communication,"Adobe Photoshop, Illustrator, UI/UX Design, Creative Thinking","You will create visually engaging graphics, marketing collateral, and UI elements for software applications. Responsibilities include translating creative briefs into compelling designs that align with the company's brand identity."
Talent Acquisition,Pinnacle Management Consultant,Pune,Immediately,2 Months,"₹ 5,000-10,000 /month",Consulting Services,Talent Acquisition & Technical Recruitment,"Executive Search, Candidate Sourcing, Negotiation, Client Management","You will partner with corporate clients to understand their hiring requirements and identify top-tier talent. Day-to-day duties involve mapping markets, screening profiles, and coordinating interview rounds."
Content Writing,TechWhoop,Work From Home,Immediately,2 Months,"₹ 3,000 /month",IT and Software Development,Content Strategy & Copywriting,"Copywriting, SEO Writing, Blogging, Research","You will write engaging tech-related articles, blog posts, and website content to drive audience engagement. Responsibilities include researching industry trends, incorporating keywords for SEO, and proofreading drafts."
Digital Marketing,ITSBHM Group,Ludhiana,Immediately,2 Months,"₹ 2,000-3,000 /month",Diversified Conglomerates,Digital Marketing & SEO/SEM,"Social Media Management, PPC, Content Marketing, Email Marketing","You will assist in managing multi-channel digital campaigns to boost brand awareness and lead generation. Daily tasks include tracking campaign metrics, scheduling posts, and optimizing ad copy."
E-commerce Executive,REOUTLOOK,Ahmedabad,Immediately,2 Months,"₹ 10,000 /month",Retail & Consumer Durables,E-Commerce Operations & Catalog Management,"Catalog Management, Inventory Tracking, Vendor Coordination, Excel","You will manage online product listings, update catalogs, and monitor inventory levels across e-commerce platforms. Responsibilities include optimizing product descriptions for searchability and ensuring seamless order fulfillment."
Data Entry,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000-15,000 /month",IT and Software Development,Database Administration & Big Data,"Data Entry, Microsoft Excel, Data Accuracy, Typing Speed","You will input, update, and maintain accurate records within company databases and spreadsheets. Day-to-day duties involve verifying data integrity, organizing digital files, and handling routine administrative data tasks."
Machine Learning,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 15,000-20,000 /month",IT and Software Development,Artificial Intelligence & Machine Learning,"Python, Machine Learning, Data Preprocessing, Scikit-Learn","You will build and train predictive machine learning models using Python and popular data science libraries. Responsibilities include data cleaning, feature engineering, and evaluating algorithm performance."
Data Science,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 20,000-25,000 /month",IT and Software Development,Data Analytics & Business Intelligence,"Python, SQL, Data Visualization, Statistics","You will analyze complex datasets to extract actionable insights for business stakeholders. Daily tasks involve writing SQL queries, building dashboards, and presenting data-driven recommendations."
Management Trainee,Asia Pacific Commercial International,Jaipur,Immediately,2 Months,"₹ 10,000 /month",Banking and Financial Services,Strategy & Corporate Development,"Business Analysis, Market Research, Communication, Project Management","You will undergo cross-functional training in international trade, business analysis, and corporate operations. Responsibilities include supporting senior management with strategic planning and market analysis."
Management Trainee,Viprom Technologies LLP,Work From Home,Immediately,2 Months,"₹ 2,000-5,000 /month",IT and Software Development,Software Engineering,"Java, Problem Solving, Software Development Life Cycle, Communication","You will participate in software development projects, learning enterprise technologies and coding standards. Day-to-day tasks involve assisting in software design, coding, testing, and debugging."
Business Development (Sales),Big Tree Resource Management Private Limited,Gurgaon,Immediately,2 Months,"₹ 10,000 /month",Consulting Services,B2B Sales & Key Account Management,"Lead Generation, B2B Sales, Cold Calling, Client Relationship Management","You will drive business growth by identifying potential clients and pitching HR and resource management solutions. Responsibilities include managing the sales pipeline, building client relationships, and meeting sales quotas."
Digital Marketing,Adxventure LLP,Work From Home,Immediately,2 Months,"₹ 2,500 lump sum",IT and Software Development,Digital Marketing & SEO/SEM,"Performance Marketing, Google Ads, Social Media Ads, Analytics","You will execute performance marketing campaigns across digital networks to optimize customer acquisition costs. Daily duties include designing ad creatives, setting up targeting parameters, and analyzing ROI."
Full Stack Development,Filosha Infotech Private Limited,Bangalore,Immediately,2 Months,"₹ 12,000 /month",IT and Software Development,Full Stack Web Development,"React, Node.js, JavaScript, MongoDB","You will design and build scalable web applications spanning both front-end and back-end architectures. Responsibilities include writing clean code, integrating APIs, and troubleshooting software bugs."
Marketing,Indo Infrastructures,Delhi,Immediately,2 Months,"₹ 10,000-15,000 /month",Infrastructure & Construction,Business Analytics & Market Research,"Market Research, Sales Strategy, Lead Generation, Presentation Skills","You will support marketing initiatives for infrastructure projects by researching market trends and competitor activity. Day-to-day tasks involve preparing pitch decks, assisting with promotional campaigns, and liaising with vendors."
Marketing & Sales,Khushii,Delhi,Immediately,2 Months,"₹ 10,000 /month","Media, Entertainment & Education",B2B Sales & Key Account Management,"Fundraising, Communication, Donor Relations, Marketing","You will drive outreach campaigns to build awareness and raise funds for social initiatives. Responsibilities include communicating with donors, organizing awareness events, and managing marketing partnerships."
Social Media Content Writing,Kalataru,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Media, Entertainment & Education, Retail & Consumer Durables","Content Strategy & Copywriting, Social Media & Community Management","Copywriting, Social Media Strategy, Content Creation, SEO Writing","As a Social Media Content Writing intern at Kalataru, you will craft engaging posts, captions, and articles tailored for various digital platforms. Your day-to-day work involves brainstorming creative content ideas, writing compelling copy, and scheduling posts to enhance audience engagement."
Operations & Quality Assurance,JobBox,Work From Home,Immediately,2 Months,"₹ 1,000 /week","IT and Software Development, Global Capability Centres (GCCs)","Operations & Process Excellence (Six Sigma), Quality Assurance & Quality Control (QA/QC)","Quality Assurance, Process Optimization, Data Analysis, Attention to Detail","At JobBox, you will support operations and quality assurance workflows to ensure smooth business processes. Responsibilities include testing operational guidelines, tracking metrics, and identifying areas for process improvement."
Business Development (Sales),Poddar Enterprises,Gandhidham,Immediately,2 Months,"₹ 9,000-12,000 /month","Retail & Consumer Durables, Diversified Conglomerates","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Communication, Negotiation, Client Relations","Join Poddar Enterprises as a Business Development intern to drive revenue growth and expand the client base. You will engage with prospective clients, pitch company services, and manage ongoing customer relationships."
Law/Legal,Zen Legal LLP,Mumbai,Immediately,2 Months,"₹ 2,500 /month +  Incentives","Consulting Services, Banking and Financial Services","Corporate Legal Affairs & Contract Management, Company Secretarial & Corporate Compliance","Legal Research, Contract Drafting, Regulatory Compliance, Case Analysis","At Zen Legal LLP, you will assist attorneys and legal consultants with thorough case research and document preparation. Daily tasks include drafting agreements, reviewing contracts, and staying updated on regulatory changes."
Photoshop Editing,Airaavata Jewelry House,Bangalore,Immediately,2 Months,"₹ 10,000 /month","Gems & Jewellery, Retail & Consumer Durables","Graphic Design & Visual Communication, Gemology & CAD Jewelry Design","Adobe Photoshop, Image Editing, Visual Merchandising, Color Correction","Working with Airaavata Jewelry House, you will enhance product photographs and create visually striking promotional graphics. Your role involves retouching jewelry images, balancing colors, and preparing digital assets for online catalogs."
Human Resources (HR),Ecommerce Ventures,Hyderabad,Immediately,2 Months,"₹ 8,000-10,000 /month","Retail & Consumer Durables, IT and Software Development","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Recruitment, Candidate Sourcing, HR Operations, Communication","At Ecommerce Ventures, you will support the human resources team with end-to-end recruitment and employee engagement tasks. Responsibilities include sourcing candidates, scheduling interviews, and assisting in onboarding programs."
Primary Research,RedSeer Management Consulting,Work From Home,Immediately,2 Months,"₹ 10,000 /month","Consulting Services, Media, Entertainment & Education","Business Analytics & Market Research, Management Consulting & Advisory","Primary Research, Data Gathering, Interviewing, Analytical Thinking","As a Primary Research intern at RedSeer Management Consulting, you will conduct interviews and surveys to gather critical market insights. Your day-to-day involves collecting qualitative and quantitative data, synthesizing findings, and supporting consultants."
Digital Marketing,SEGEL INDIA PRIVATE LIMITED,Delhi,Immediately,2 Months,"₹ 5,000-8,000 /month","IT and Software Development, Media, Entertainment & Education","Digital Marketing & SEO/SEM, Social Media & Community Management","SEO, Google Analytics, Social Media Marketing, Content Strategy","At SEGEL INDIA PRIVATE LIMITED, you will help execute comprehensive digital marketing campaigns to boost brand visibility. You will monitor social channels, analyze campaign performance metrics, and assist with search engine optimization efforts."
Media Sales,PixelizeAds,Delhi,Immediately,2 Months,"₹ 6,000-10,000 /month","Media, Entertainment & Education, Telecom","Brand Management & Advertising, B2B Sales & Key Account Management","Media Sales, Advertising, Client Pitching, Negotiation","Working at PixelizeAds, you will drive media sales by pitching advertising solutions to prospective clients. Responsibilities include identifying sales leads, presenting customized media packages, and closing contracts."
Finance & Accounting,Loom Solar Private Limited,Faridabad,Immediately,2 Months,"₹ 8,000 /month","Renewable Energy, Finance","Corporate Finance & Treasury, Auditing & Taxation","Financial Accounting, Bookkeeping, Taxation, Excel","At Loom Solar Private Limited, you will assist the finance team with daily accounting, ledger maintenance, and financial reporting. Your tasks include processing invoices, reconciling accounts, and supporting tax filing procedures."
Video Making/Editing,Big Faction Consultancy Private Limited,Bangalore,Immediately,2 Months,"₹ 2,500 /month","Consulting Services, Media, Entertainment & Education","Video Production & Motion Graphics, Graphic Design & Visual Communication","Video Editing, Adobe Premiere Pro, Motion Graphics, Post-Production","Join Big Faction Consultancy Private Limited as a Video Making/Editing intern to produce compelling video content for corporate projects. You will edit raw footage, add motion graphics and sound effects, and deliver final polished videos."
Digital Marketing,Smiling Success Enterprises Private Limited,Delhi,Immediately,2 Months,"₹ 8,000 /month +  Incentives","Retail & Consumer Durables, IT and Software Development","Digital Marketing & SEO/SEM, Social Media & Community Management","Digital Marketing, Social Media Management, Campaign Planning, Content Creation","At Smiling Success Enterprises Private Limited, you will manage online marketing initiatives to enhance customer acquisition. You will create engaging content, run social campaigns, and track performance indicators."
Human Resources (HR),Credit Wise Capital Private Limited,Mumbai,Immediately,2 Months,"₹ 5,000 /month","Banking and Financial Services, Finance","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Talent Sourcing, HR Administration, Interview Coordination, Employee Relations","Working with Credit Wise Capital Private Limited, you will support human resources initiatives targeted at scaling financial operations. Your role involves screening resumes, coordinating interviews, and maintaining employee databases."
Accounting & Tally,BubbleNut Wash,Bangalore,Immediately,2 Months,"₹ 15,000-20,000 /month","FMCG (Fast-Moving Consumer Goods), Finance","Auditing & Taxation, Corporate Finance & Treasury","Tally ERP, Accounting, Financial Record Keeping, GST Compliance","At BubbleNut Wash, you will handle day-to-day bookkeeping and financial transactions using Tally software. Responsibilities include recording invoices, managing expense reports, and assisting with statutory compliance and audits."
Project Executive,Green Stapler,Mumbai,Immediately,2 Months,"₹ 12,000 /month","Consulting Services, Infrastructure & Construction","Project & Program Management, Operations & Process Excellence (Six Sigma)","Project Coordination, Task Management, Documentation, Communication","As a Project Executive intern at Green Stapler, you will coordinate various project phases to ensure timely execution. Your day-to-day entails tracking milestones, preparing project reports, and communicating with cross-functional teams."
Video Making/Editing,Possible,Bangalore,Immediately,2 Months,"₹ 10,000 /month","Healthcare, Media, Entertainment & Education","Video Production & Motion Graphics, Content Strategy & Copywriting","Video Editing, Content Production, Final Cut Pro, Creative Direction","At Possible, you will edit and produce engaging video content focused on health and wellness. You will collaborate with content creators to assemble video clips, apply color grading, and integrate audio tracks."
Fashion Design,TA Whitebrands,Gurgaon,Immediately,2 Months,"₹ 20,000-25,000 /month","Textile Manufacturing, Retail & Consumer Durables","Fashion Styling & Textile Design, Apparel Pattern Making & Garment Construction","Fashion Design, Sketching, Textile Selection, CAD Design","Working at TA Whitebrands, you will assist the design team in conceptualizing apparel lines and seasonal collections. Tasks include creating design sketches, selecting fabrics, and supporting pattern-making workflows."
Back-office Operation,WOODCRAFT EVENTS AND ENTERTAINMENT,Mumbai,Immediately,2 Months,"₹ 12,000-15,000 /month","Travel & Hospitality, Media, Entertainment & Education","Event Management & Public Relations, Corporate Communications & Public Relations (PR)","Back-Office Support, Data Entry, Administrative Support, Event Coordination","At WOODCRAFT EVENTS AND ENTERTAINMENT, you will manage back-office operations to ensure successful event execution. You will handle administrative duties, organize event schedules, and maintain logistical documentation."
Media & Public Relations (PR),ShopClues,Gurgaon,Immediately,2 Months,"₹ 12,000-15,000 /month","Retail & Consumer Durables, Media, Entertainment & Education","Corporate Communications & Public Relations (PR), Brand Management & Advertising","Public Relations, Media Outreach, Press Release Writing, Communication","Join ShopClues as a Media & Public Relations intern to help build positive brand perception and handle media relations. You will draft press releases, coordinate with journalists, and monitor media coverage."
Search Engine Optimization (SEO),Shreya Goswami,Work From Home,Immediately,2 Months,"₹ 5,000 /month","IT and Software Development, Media, Entertainment & Education","Digital Marketing & SEO/SEM, Content Strategy & Copywriting","Search Engine Optimization, Keyword Research, Google Search Console, On-Page SEO","Working with Shreya Goswami, you will execute SEO strategies to improve organic search rankings and web traffic. Your tasks include conducting keyword research, optimizing website content, and tracking search performance metrics."
Human Resources (HR),Valkyrie People Consulting,Work From Home,Immediately,2 Months,"₹ 7,000 /month",Consulting Services,Human Resources (HR) & People Operations,"Recruitment, Communication, HR Administration, Employee Relations","Assist the HR team at Valkyrie People Consulting in sourcing candidates, scheduling interviews, and managing day-to-day employee operations. Support onboarding processes and maintain internal personnel records."
Content Writing,Whyral Media,Work From Home,Immediately,2 Months,"₹ 24,000 /month","Media, Entertainment & Education",Content Strategy & Copywriting,"Copywriting, Content Strategy, Editing, SEO Writing",Create engaging and original digital content for various media platforms at Whyral Media. Collaborate with the editorial team to research trending topics and write articles tailored to target audiences.
Graphic Design,DIVINE WEB SOLUTION,Delhi,Immediately,2 Months,"₹ 10,000 /month",IT and Software Development,Graphic Design & Visual Communication,"Adobe Photoshop, Illustrator, Visual Design, Creativity",Design creative visual assets for web solutions and client projects at DIVINE WEB SOLUTION. Translate concepts into high-quality digital graphics and marketing collateral.
Company Secretary (CS),Analah Capital,Mumbai,Immediately,2 Months,"₹ 15,000-30,000 /month",Banking and Financial Services,Company Secretarial & Corporate Compliance,"Corporate Law, Compliance, Legal Documentation, Secretarial Practice",Support the compliance and legal departments at Analah Capital by preparing secretarial documents and maintaining statutory registers. Assist in ensuring adherence to corporate governance standards and regulatory filings.
Policy Research,Mumbai First,Mumbai,Immediately,2 Months,"₹ 3,000 /month",Consulting Services,Management Consulting & Advisory,"Research, Data Analysis, Report Writing, Public Policy",Conduct thorough secondary and primary research on urban policy matters for Mumbai First. Synthesize findings into actionable policy reports and presentation decks for stakeholders.
Marketing,GMN Roadshows & Events,Gurgaon,Immediately,2 Months,"₹ 18,000-20,000 /month","Media, Entertainment & Education",Brand Management & Advertising,"Marketing Strategy, Event Management, Communication, Social Media",Help plan and execute promotional roadshows and marketing events for GMN Roadshows & Events. Assist in coordinating campaigns and measuring promotional outreach effectiveness.
Sales And Marketing,Gin.ed,Bangalore,Immediately,2 Months,"₹ 15,000 /month +  Incentives","Media, Entertainment & Education",B2B Sales & Key Account Management,"Lead Generation, Sales Pitching, Client Relationship Management, Negotiation",Drive outreach campaigns and pitch educational solutions to potential clients for Gin.ed. Identify new business opportunities and manage the end-to-end sales pipeline.
Content Creator,FAAST,Bangalore,Immediately,2 Months,"₹ 10,000-14,005 /month","Media, Entertainment & Education",Social Media & Community Management,"Video Creation, Content Strategy, Social Media Metrics, Creativity","Develop, shoot, and edit multimedia content for FAAST's social media channels to boost audience engagement. Analyze performance trends to optimize future content drops."
News Writing,Chetan Yedve,Work From Home,Immediately,2 Months,"₹ 5,000 /month +  Incentives","Media, Entertainment & Education",Journalism & Mass Media Production,"Journalism, News Writing, Fact-Checking, Reporting","Research current events and draft daily news articles for Chetan Yedve. Conduct interviews, verify facts, and deliver timely journalistic pieces."
Chartered Accountancy (CA),NurseMe Cares India Private Limited,Hyderabad,Immediately,2 Months,"₹ 10,000 /month",Banking and Financial Services,Auditing & Taxation,"Accounting, Auditing, Taxation, Financial Reporting","Assist NurseMe Cares India Private Limited with financial auditing, tax computations, and bookkeeping tasks. Review financial records to ensure accuracy and regulatory compliance."
Graphic Design - Marketing Agency,Mediqueue,Work From Home,Immediately,2 Months,"₹ 3,000-5,000 /month",IT and Software Development,Graphic Design & Visual Communication,"Graphic Design, Branding, Adobe Creative Suite, Marketing Collateral",Design creative promotional materials and advertisements for marketing campaigns at Mediqueue. Collaborate closely with the marketing team to align designs with brand guidelines.
Technical Content Writing,Skuad Lab India Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000 /month",IT and Software Development,Content Strategy & Copywriting,"Technical Writing, Documentation, Research, Editing","Produce clear and comprehensive technical documentation, guides, and articles for Skuad Lab India Private Limited. Translate complex software features into user-friendly content."
Search Engine Optimization (SEO),Task Robots,Jaipur,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"SEO, Keyword Research, Google Analytics, On-page Optimization","Execute SEO strategies to improve search engine rankings and organic traffic for Task Robots. Conduct keyword research, optimize web content, and monitor backlink profiles."
Mechanical Engineering,Kenmark Tech Solutions,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month",Manufacturing & Industrial,Mechanical Design & CAD/CAM,"AutoCAD, SolidWorks, Mechanical Engineering, Prototyping",Design and draft mechanical components and assemblies using CAD software for Kenmark Tech Solutions. Assist engineers in product testing and prototyping procedures.
Graphic Design,Masti Matic Fashion Ocean,Work From Home,Immediately,6 Months,"₹ 2,000-4,000 /month",Textile Manufacturing,Graphic Design & Visual Communication,"Fashion Graphics, Adobe Photoshop, CorelDRAW, Textile Design",Create visual prints and digital marketing graphics for Masti Matic Fashion Ocean. Assist the design team in preparing seasonal lookbooks and promotional banners.
Business Development (Sales),Infi Window System,Noida,Immediately,6 Months,"₹ 12,000 /month",Retail & Consumer Durables,B2B Sales & Key Account Management,"Lead Generation, Business Development, Client Communication, Negotiation",Identify prospective clients and pitch window system solutions for Infi Window System. Follow up on leads and expand the company's regional customer base.
Database Building/Management,Curated Tales Private Limited,Work From Home,Immediately,6 Months,"₹ 2,500 lump sum","Media, Entertainment & Education",Data Analytics & Business Intelligence,"Data Entry, Excel, Database Management, Information Research","Build, clean, and manage large datasets for Curated Tales Private Limited. Ensure data integrity and organize information systematically for editorial use."
Volunteering,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",Software Engineering,"Community Outreach, Event Coordination, Social Work, Volunteer Management",Support social welfare initiatives and awareness campaigns organized by Kshitiksha Foundation. Assist in managing volunteer programs and community engagement activities.
Social Media Marketing,WebxInfinity IT Solutions,Bangalore,Immediately,6 Months,"₹ 2,000 /month",IT and Software Development,Social Media & Community Management,"Social Media Marketing, Content Creation, Campaign Planning, Analytics",Manage social media channels for WebxInfinity IT Solutions by posting regular updates and engaging with followers. Design marketing campaigns to increase brand visibility online.
Social Media Marketing,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Media, Entertainment & Education",Social Media & Community Management,"Digital Marketing, Social Media Strategy, Copywriting, Community Engagement",Drive social media campaigns to highlight non-profit initiatives for Kshitiksha Foundation. Create content calendars and monitor engagement metrics across digital platforms.
Accounting & Tally,Puneet Arora,Delhi,Immediately,6 Months,"₹ 2,000-6,000 /month","Banking and Financial Services, Finance","Auditing & Taxation, Commercial & Retail Banking Operations","Tally ERP, Accounting, Bookkeeping, Excel","Assist with day-to-day accounting operations, maintaining ledger accounts, and recording financial transactions using Tally. Reconcile bank statements and help prepare financial reports under supervision."
Business Development (Sales),Mayadeep Hotels & Resorts,Work From Home,Immediately,6 Months,"₹ 10,000 /month +  Incentives","Travel & Hospitality, Retail & Consumer Durables","B2B Sales & Key Account Management, Hospitality & Front Office Operations","Sales, Lead Generation, Customer Relationship Management, Negotiation","Drive business growth by identifying potential hospitality clients, promoting hotel packages, and managing customer inquiries. Coordinate with the sales team to close deals and enhance brand reach."
Web Development,Lawtech,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","IT and Software Development, Consulting Services","Full Stack Web Development, Software Engineering","HTML/CSS, JavaScript, React, Node.js","Develop and maintain responsive web pages and applications for legal technology solutions. Collaborate with the engineering team to debug issues, optimize performance, and implement new features."
SEO Content,Mariox Software Private Limited,Work From Home,Immediately,6 Months,"₹ 20,000 /month","IT and Software Development, Media, Entertainment & Education","Content Strategy & Copywriting, Digital Marketing & SEO/SEM","SEO Writing, Keyword Research, Content Strategy, Copywriting","Create engaging, SEO-optimized content for software products, blogs, and marketing campaigns. Conduct keyword research to improve organic search rankings and visibility."
Digital Marketing,Modifyed Digital,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month","Consulting Services, IT and Software Development","Digital Marketing & SEO/SEM, Brand Management & Advertising","Social Media Advertising, Google Analytics, SEO, Campaign Management",Plan and execute digital marketing campaigns across various channels to increase brand awareness and client acquisition. Analyze campaign performance metrics using analytical tools to optimize future strategies.
